淘宝ID,卖家昵称,商家编码,标题,图片地址,促销活动,价格,促销价格,总销量,月销量,库存,收藏数,SKU数,抓取日期
18775956655,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款羊毛大摆扎花修身气质大牌显瘦连衣裙,http://img04.taobaocdn.com/bao/uploaded/i4/T1FW2UXclcXXa8hGnb_093048.jpg,秋款上新,0.0,0.0,4,3,-4,8,0,2012-10-17
18775956655,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款羊毛大摆扎花修身气质大牌显瘦连衣裙,http://img04.taobaocdn.com/bao/uploaded/i4/T1FW2UXclcXXa8hGnb_093048.jpg,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-16
16451615543,海青蓝旗舰店,,,,秋款上新,0.0,0.0,0,0,0,2,0,2012-10-19
16451615543,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款羊毛混纺长袖显瘦品牌正品毛衣大码连衣裙,http://img04.taobaocdn.com/bao/uploaded/i4/T11PrSXoNkXXctNfI8_100421.jpg,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-18
16451615543,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款羊毛混纺长袖显瘦品牌正品毛衣大码连衣裙,http://img04.taobaocdn.com/bao/uploaded/i4/T11PrSXoNkXXctNfI8_100421.jpg,秋款上新,0.0,0.0,0,0,0,-2,0,2012-10-17
16451615543,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款羊毛混纺长袖显瘦品牌正品毛衣大码连衣裙,http://img04.taobaocdn.com/bao/uploaded/i4/T11PrSXoNkXXctNfI8_100421.jpg,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-16
16974387178,海青蓝旗舰店,,,,秋款上新,0.0,0.0,0,0,0,-1,0,2012-10-19
16974387178,海青蓝旗舰店,2012,海青蓝2012秋季新款女装 重工毛呢绣花 欧美大牌7分袖连衣裙大码,http://img04.taobaocdn.com/bao/uploaded/i4/T1IFHPXeRoXXXMaksU_015429.jpg,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-18
16974387178,海青蓝旗舰店,2012,海青蓝2012秋季新款女装 重工毛呢绣花 欧美大牌7分袖连衣裙大码,http://img04.taobaocdn.com/bao/uploaded/i4/T1IFHPXeRoXXXMaksU_015429.jpg,秋款上新,0.0,0.0,1,0,-1,2,0,2012-10-17
16974387178,海青蓝旗舰店,2012,海青蓝2012秋季新款女装 重工毛呢绣花 欧美大牌7分袖连衣裙大码,http://img04.taobaocdn.com/bao/uploaded/i4/T1IFHPXeRoXXXMaksU_015429.jpg,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-16
19050696540,海青蓝旗舰店,,,,5折促销,0.0,0.0,0,0,1,0,0,2012-10-19
19050696540,海青蓝旗舰店,2012,欧美复古印花修身显瘦长袖连衣裙子打底裙2012秋冬新款女装有大码,http://img04.taobaocdn.com/bao/uploaded/i4/T1Yb6JXjpaXXah10IZ_031727.jpg,5折促销,0.0,0.0,0,0,0,-3,0,2012-10-18
19050696540,海青蓝旗舰店,2012,欧美复古印花修身显瘦长袖连衣裙子打底裙2012秋冬新款女装有大码,http://img04.taobaocdn.com/bao/uploaded/i4/T1Yb6JXjpaXXah10IZ_031727.jpg,5折促销,0.0,0.0,-1,-2,0,6,0,2012-10-17
19050696540,海青蓝旗舰店,2012,欧美复古印花修身显瘦长袖连衣裙子打底裙2012秋冬新款女装有大码,http://img04.taobaocdn.com/bao/uploaded/i4/T1Yb6JXjpaXXah10IZ_031727.jpg,5折促销,0.0,0.0,0,0,0,0,0,2012-10-16
17093979783,海青蓝旗舰店,,,,秋季新品,0.0,0.0,0,0,0,2,0,2012-10-19
17093979783,海青蓝旗舰店,2012,海青蓝2012秋季女装新款 真丝丝绒提花宽松A字裙长袖连衣裙子,http://img02.taobaocdn.com/bao/uploaded/i2/T1MQYQXhBgXXa2BfYa_120829.jpg,秋季新品,0.0,0.0,1,0,-1,3,0,2012-10-18
17093979783,海青蓝旗舰店,2012,海青蓝2012秋季女装新款 真丝丝绒提花宽松A字裙长袖连衣裙子,http://img02.taobaocdn.com/bao/uploaded/i2/T1MQYQXhBgXXa2BfYa_120829.jpg,秋季新品,0.0,0.0,0,0,0,1,0,2012-10-17
17093979783,海青蓝旗舰店,2012,海青蓝2012秋季女装新款 真丝丝绒提花宽松A字裙长袖连衣裙子,http://img02.taobaocdn.com/bao/uploaded/i2/T1MQYQXhBgXXa2BfYa_120829.jpg,秋季新品,0.0,0.0,0,0,0,0,0,2012-10-16
15441661629,海青蓝旗舰店,,,,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-19
15441661629,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款兔毛领拼皮蕾丝无袖背心裙修身连衣裙,http://img03.taobaocdn.com/bao/uploaded/i3/T1BbnIXaBrXXcFYSZU_015750.jpg,秋款上新,0.0,0.0,0,0,-1,3,0,2012-10-18
15441661629,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款兔毛领拼皮蕾丝无袖背心裙修身连衣裙,http://img03.taobaocdn.com/bao/uploaded/i3/T1BbnIXaBrXXcFYSZU_015750.jpg,秋款上新,0.0,0.0,2,2,-3,-3,0,2012-10-17
15441661629,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款兔毛领拼皮蕾丝无袖背心裙修身连衣裙,http://img03.taobaocdn.com/bao/uploaded/i3/T1BbnIXaBrXXcFYSZU_015750.jpg,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-16
16845031403,海青蓝旗舰店,,,,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-19
